RecordSize,Lat,County,State,Long,PlaceName,ZipCode,calculate this,FileType=CSV,Version=1.0,SizeType=ASCII,us_postal_codes_COLUMN_RANDOMIZED.pki,PKISchema=CSV,40933,FieldsPerRecord=5,PKIFormat=PKI,IndexEndOfHeaderRecord,
42,Franklin,1344,42.601344,-72.4292,Erving,MA
41,Franklin,1346,42.681346,-72.8391,Heath,MA
49,Franklin,1347,42.551347,-72.5181,Lake Pleasant,MA
49,Franklin,1349,42.581349,-72.4926,Millers Falls,MA
49,Franklin,1350,42.721350,-72.9762,Monroe Bridge,MA
44,Franklin,1351,42.541351,-72.5328,Montague,MA
40,Franklin,1354,42.641354,-72.4995,Gill,MA
45,Franklin,1355,42.511355,-72.3062,New Salem,MA
45,Franklin,1360,42.681360,-72.451,Northfield,MA
42,Franklin,1364,42.611364,-72.2924,Orange,MA
46,Worcester,1366,42.481366,-72.1893,Petersham,MA
40,Franklin,1367,42.691367,-72.9258,Rowe,MA
46,Worcester,1368,42.671368,-72.1964,Royalston,MA
51,Franklin,1370,42.601370,-72.7391,Shelburne Falls,MA
51,Franklin,1373,42.471373,-72.6153,South Deerfield,MA
46,Franklin,1375,42.451375,-72.5676,Sunderland,MA
49,Franklin,1376,42.591376,-72.5557,Turners Falls,MA
43,Franklin,1378,42.661378,-72.3397,Warwick,MA
43,Franklin,1379,42.561379,-72.4009,Wendell,MA
49,Franklin,1380,42.551380,-72.3927,Wendell Depot,MA
46,Worcester,1420,42.571420,-71.8031,Fitchburg,MA
47,Worcester,1430,42.641430,-71.9267,Ashburnham,MA
42,Middlesex,1431,42.671431,-71.8174,Ashby,MA
41,Middlesex,1432,42.551432,-71.5788,Ayer,MA
43,Worcester,1434,42.531434,-71.6115,Devens,MA
49,Worcester,1436,42.591436,-72.0646,Baldwinville,MA
50,Worcester,1438,42.561438,-72.037,East Templeton,MA
44,Worcester,1440,42.571440,-71.9898,Gardner,MA
48,Worcester,1441,42.541441,-71.9106,Westminster,MA
43,Middlesex,1450,42.611450,-71.5584,Groton,MA
44,Worcester,1451,42.491451,-71.5753,Harvard,MA
48,Worcester,1452,42.481452,-72.0012,Hubbardston,MA
47,Worcester,1453,42.521453,-71.7563,Leominster,MA
46,Middlesex,1460,42.541460,-71.4877,Littleton,MA
46,Worcester,1462,42.581462,-71.7266,Lunenburg,MA
46,Middlesex,1463,42.661463,-71.5934,Pepperell,MA
44,Middlesex,1464,42.571464,-71.6483,Shirley,MA
48,Worcester,1467,42.481467,-71.6131,Still River,MA
45,Worcester,1468,42.541468,-72.065,Templeton,MA
45,Middlesex,1469,42.651469,-71.6896,Townsend,MA
43,Middlesex,1470,42.611470,-71.5745,Groton,MA
43,Middlesex,1471,42.611471,-71.5745,Groton,MA
48,Middlesex,1472,42.601472,-71.6273,West Groton,MA
48,Worcester,1473,42.541473,-71.9096,Westminster,MA
50,Middlesex,1474,42.661474,-71.7522,West Townsend,MA
47,Worcester,1475,42.671475,-72.0475,Winchendon,MA
43,Worcester,1501,42.201501,-71.8391,Auburn,MA
43,Worcester,1503,42.381503,-71.6356,Berlin,MA
47,Worcester,1504,42.021504,-71.5269,Blackstone,MA
44,Worcester,1505,42.331505,-71.731,Boylston,MA
47,Worcester,1506,42.191506,-72.0989,Brookfield,MA
45,Worcester,1507,42.131507,-71.9664,Charlton,MA
50,Worcester,1508,42.141508,-71.9884,Charlton City,MA
51,Worcester,1509,42.171509,-71.9787,Charlton Depot,MA
44,Worcester,1510,42.411510,-71.6828,Clinton,MA
52,Worcester,1515,42.211515,-72.0481,East Brookfield,MA
